07/02/2026,00,07,16,27,43,50,52,62,79,93
05/02/2026,01,05,06,17,55,58,67,71,80,84
03/02/2026,09,29,33,52,57,66,71,77,81,88
31/01/2026,10,18,33,38,42,50,63,71,83,89
29/01/2026,11,23,25,62,65,67,78,88,90,96
27/01/2026,07,19,20,23,29,32,50,53,86,87
24/01/2026,02,08,21,33,36,43,45,49,66,92
22/01/2026,03,08,11,20,46,55,65,73,85,87
20/01/2026,04,09,14,25,37,48,51,60,71,88
17/01/2026,05,15,31,39,72,73,76,84,89,98
15/01/2026,06,12,18,23,34,42,49,56,67,77
13/01/2026,07,11,19,27,35,44,50,63,70,82
10/01/2026,08,14,21,28,36,46,52,61,73,84
08/01/2026,09,16,22,30,37,48,54,62,76,89
06/01/2026,10,18,24,31,42,53,57,64,78,91
03/01/2026,11,20,26,33,45,56,60,67,79,92
01/01/2026,12,21,27,34,46,57,61,68,80,93
30/12/2025,13,22,28,35,47,58,62,69,81,94
27/12/2025,14,23,29,36,48,59,63,70,82,95
25/12/2025,15,24,30,37,49,60,64,71,83,96
